model,register,number,dim_id,dim_label,v_human,v_model,delta_v,se,b_d,score
gemini_3_thinking,academic,001,dim1,Subject drop,0.069767,0.085106,-0.015339,0.012185,-1.258866,78.014184
gemini_3_thinking,academic,001,dim2,Subordination,0.535211,0.500000,0.035211,0.020988,1.677651,93.421053
gemini_3_thinking,academic,001,dim3,NP length,2.861472,3.223982,-0.362510,0.156208,-2.320687,87.331344
gemini_3_thinking,academic,001,dim4,Past tense,0.316239,0.416342,-0.100103,0.044566,-2.246198,68.345778
gemini_3_thinking,academic,001,dim5,3rd person,28.938907,31.965443,-3.026536,1.478331,-2.047266,89.541637
gemini_3_thinking,academic,001,dim6,Word length,4.818966,5.305966,-0.487001,0.070790,-6.879552,89.894079
gemini_3_thinking,academic,001,dim7,Complementizers,0.588235,0.605263,-0.017028,0.030356,-0.560940,97.105263
gemini_3_thinking,academic,001,dim9,Tree depth,8.340426,8.317308,0.023118,0.213457,0.108302,99.722822
gemini_3_thinking,academic,001,dim10,LIX readability,41.341291,40.632909,0.708382,1.445323,0.490120,98.286502
gemini_3_thinking,academic,001,dim11,Lexical diversity (MTLD),175.330276,234.359909,-59.029633,10.482520,-5.631245,66.332322
gemini_3_thinking,academic,002,dim1,Subject drop,0.027027,0.016260,0.010767,0.012185,0.883636,60.162602
gemini_3_thinking,academic,002,dim2,Subordination,0.594286,0.637602,-0.043316,0.020988,-2.063825,92.711172
gemini_3_thinking,academic,002,dim3,NP length,3.610837,2.980600,0.630238,0.156208,4.034604,82.545938
gemini_3_thinking,academic,002,dim4,Past tense,0.071429,0.108974,-0.037546,0.044566,-0.842484,47.435897
gemini_3_thinking,academic,002,dim5,3rd person,40.065413,23.263770,16.801643,1.478331,11.365280,58.064471
gemini_3_thinking,academic,002,dim6,Word length,4.661001,4.985541,-0.324540,0.070790,-4.584575,93.037112
gemini_3_thinking,academic,002,dim7,Complementizers,0.375000,0.500000,-0.125000,0.030356,-4.117807,66.666667
gemini_3_thinking,academic,002,dim9,Tree depth,10.315789,7.810458,2.505332,0.213457,11.736941,75.713619
gemini_3_thinking,academic,002,dim10,LIX readability,47.267161,36.813946,10.453215,1.445323,7.232441,77.884826
gemini_3_thinking,academic,002,dim11,Lexical diversity (MTLD),106.179338,129.988175,-23.808837,10.482520,-2.271290,77.576770
gemini_3_thinking,academic,003,dim1,Subject drop,0.016949,0.065421,-0.048471,0.012185,-3.978047,0.000000
gemini_3_thinking,academic,003,dim2,Subordination,0.277108,0.481343,-0.204235,0.020988,-9.730827,26.297859
gemini_3_thinking,academic,003,dim3,NP length,3.027778,3.510588,-0.482810,0.156208,-3.090816,84.053967
gemini_3_thinking,academic,003,dim4,Past tense,0.628319,0.553488,0.074830,0.044566,1.679103,88.090403
gemini_3_thinking,academic,003,dim5,3rd person,13.389121,11.063830,2.325292,1.478331,1.572917,82.632979
gemini_3_thinking,academic,003,dim6,Word length,5.731214,5.710820,0.020394,0.070790,0.288091,99.644161
gemini_3_thinking,academic,003,dim7,Complementizers,0.696970,0.625000,0.071970,0.030356,2.370858,89.673913
gemini_3_thinking,academic,003,dim9,Tree depth,8.000000,7.867769,0.132231,0.213457,0.619476,98.347107
gemini_3_thinking,academic,003,dim10,LIX readability,52.854544,48.668250,4.186294,1.445323,2.896441,92.079595
gemini_3_thinking,academic,003,dim11,Lexical diversity (MTLD),140.944837,185.485295,-44.540458,10.482520,-4.249022,68.398660
gemini_3_thinking,academic,004,dim1,Subject drop,0.022727,0.080000,-0.057273,0.012185,-4.700371,0.000000
gemini_3_thinking,academic,004,dim2,Subordination,0.412587,0.489796,-0.077209,0.020988,-3.678621,81.286752
gemini_3_thinking,academic,004,dim3,NP length,3.059574,3.575499,-0.515924,0.156208,-3.302800,83.137390
gemini_3_thinking,academic,004,dim4,Past tense,0.410256,0.063218,0.347038,0.044566,7.787132,15.409483
gemini_3_thinking,academic,004,dim5,3rd person,23.966942,20.613108,3.353834,1.478331,2.268663,86.006415
gemini_3_thinking,academic,004,dim6,Word length,5.389749,5.825225,-0.435477,0.070790,-6.151703,91.920278
gemini_3_thinking,academic,004,dim7,Complementizers,0.657143,0.727273,-0.070130,0.030356,-2.310250,89.328063
gemini_3_thinking,academic,004,dim9,Tree depth,8.019608,8.481928,-0.462320,0.213457,-2.165869,94.235131
gemini_3_thinking,academic,004,dim10,LIX readability,48.297099,49.904958,-1.607860,1.445323,-1.112457,96.670898
gemini_3_thinking,academic,004,dim11,Lexical diversity (MTLD),188.282865,224.545684,-36.262819,10.482520,-3.459361,80.740245
gemini_3_thinking,academic,005,dim1,Subject drop,0.075472,0.095745,-0.020273,0.012185,-1.663803,73.138298
gemini_3_thinking,academic,005,dim2,Subordination,0.447761,0.472574,-0.024813,0.020988,-1.182206,94.458509
gemini_3_thinking,academic,005,dim3,NP length,3.719048,4.215686,-0.496639,0.156208,-3.179340,86.646080
gemini_3_thinking,academic,005,dim4,Past tense,0.057692,0.401961,-0.344268,0.044566,-7.724987,0.000000
gemini_3_thinking,academic,005,dim5,3rd person,10.109520,14.481094,-4.371574,1.478331,-2.957102,56.757844
gemini_3_thinking,academic,005,dim6,Word length,5.747447,5.780777,-0.033330,0.070790,-0.470830,99.420092
gemini_3_thinking,academic,005,dim7,Complementizers,0.687500,0.741379,-0.053879,0.030356,-1.774917,92.163009
gemini_3_thinking,academic,005,dim9,Tree depth,8.464286,6.613497,1.850789,0.213457,8.670547,78.134141
gemini_3_thinking,academic,005,dim10,LIX readability,52.565476,40.615226,11.950250,1.445323,8.268220,77.265972
gemini_3_thinking,academic,005,dim11,Lexical diversity (MTLD),179.741136,244.345416,-64.604280,10.482520,-6.163049,64.057042
gemini_3_thinking,academic,006,dim1,Subject drop,0.125000,0.027211,0.097789,0.012185,8.025549,21.768707
gemini_3_thinking,academic,006,dim2,Subordination,0.515528,0.597561,-0.082033,0.020988,-3.908487,84.087570
gemini_3_thinking,academic,006,dim3,NP length,3.022026,3.208772,-0.186745,0.156208,-1.195492,93.820521
gemini_3_thinking,academic,006,dim4,Past tense,0.223140,0.258427,-0.035286,0.044566,-0.791788,84.186434
gemini_3_thinking,academic,006,dim5,3rd person,19.936204,33.127639,-13.191435,1.478331,-8.923195,33.831764
gemini_3_thinking,academic,006,dim6,Word length,5.048358,4.894564,0.153794,0.070790,2.172545,96.953591
gemini_3_thinking,academic,006,dim7,Complementizers,0.476190,0.621622,-0.145431,0.030356,-4.790859,69.459459
gemini_3_thinking,academic,006,dim9,Tree depth,8.500000,8.269231,0.230769,0.213457,1.081104,97.285068
gemini_3_thinking,academic,006,dim10,LIX readability,43.133180,39.460334,3.672846,1.445323,2.541193,91.484872
gemini_3_thinking,academic,006,dim11,Lexical diversity (MTLD),173.926719,140.389495,33.537224,10.482520,3.199348,80.717612
gemini_3_thinking,academic,007,dim1,Subject drop,0.093023,0.038760,0.054264,0.012185,4.453409,41.666667
gemini_3_thinking,academic,007,dim2,Subordination,0.455882,0.510703,-0.054821,0.020988,-2.611963,87.974746
gemini_3_thinking,academic,007,dim3,NP length,3.665025,3.716632,-0.051608,0.156208,-0.330379,98.591884
gemini_3_thinking,academic,007,dim4,Past tense,0.140351,0.120141,0.020210,0.044566,0.453479,85.600707
gemini_3_thinking,academic,007,dim5,3rd person,23.430962,17.100107,6.330855,1.478331,4.282435,72.980813
gemini_3_thinking,academic,007,dim6,Word length,5.750919,5.701885,0.049034,0.070790,0.692669,99.147374
gemini_3_thinking,academic,007,dim7,Complementizers,0.560000,0.660194,-0.100194,0.030356,-3.300642,82.108183
gemini_3_thinking,academic,007,dim9,Tree depth,9.369565,9.015267,0.354298,0.213457,1.659810,96.218629
gemini_3_thinking,academic,007,dim10,LIX readability,54.930430,51.949109,2.981321,1.445323,2.062737,94.572551
gemini_3_thinking,academic,007,dim11,Lexical diversity (MTLD),137.754361,216.049876,-78.295515,10.482520,-7.469150,43.162950
gemini_3_thinking,academic,008,dim1,Subject drop,0.057692,0.033058,0.024634,0.012185,2.021749,57.300275
gemini_3_thinking,academic,008,dim2,Subordination,0.454545,0.486264,-0.031718,0.020988,-1.511227,93.021978
gemini_3_thinking,academic,008,dim3,NP length,2.834746,2.934211,-0.099465,0.156208,-0.636745,96.491228
gemini_3_thinking,academic,008,dim4,Past tense,0.060606,0.046154,0.014452,0.044566,0.324291,76.153846
gemini_3_thinking,academic,008,dim5,3rd person,21.367521,18.444846,2.922675,1.478331,1.977010,86.321881
gemini_3_thinking,academic,008,dim6,Word length,5.699627,5.198770,0.500856,0.070790,7.075280,91.212471
gemini_3_thinking,academic,008,dim7,Complementizers,0.627907,0.592920,0.034987,0.030356,1.152545,94.428056
gemini_3_thinking,academic,008,dim9,Tree depth,8.301887,8.723577,-0.421690,0.213457,-1.975529,94.920547
gemini_3_thinking,academic,008,dim10,LIX readability,49.901357,40.174243,9.727114,1.445323,6.730061,80.507316
gemini_3_thinking,academic,008,dim11,Lexical diversity (MTLD),170.604091,152.716547,17.887544,10.482520,1.706416,89.515173
gemini_3_thinking,academic,009,dim1,Subject drop,0.098039,0.033058,0.064981,0.012185,5.333018,33.719008
gemini_3_thinking,academic,009,dim2,Subordination,0.364238,0.451220,-0.086981,0.020988,-4.144239,76.119734
gemini_3_thinking,academic,009,dim3,NP length,3.806763,3.264317,0.542446,0.156208,3.472586,85.750464
gemini_3_thinking,academic,009,dim4,Past tense,0.552000,0.632727,-0.080727,0.044566,-1.811427,85.375494
gemini_3_thinking,academic,009,dim5,3rd person,37.593985,23.481781,14.112204,1.478331,9.546039,62.461538
gemini_3_thinking,academic,009,dim6,Word length,5.647004,5.264973,0.382031,0.070790,5.396709,93.234802
gemini_3_thinking,academic,009,dim7,Complementizers,0.400000,0.702381,-0.302381,0.030356,-9.961170,24.404762
gemini_3_thinking,academic,009,dim9,Tree depth,8.754717,8.133858,0.620859,0.213457,2.908589,92.908295
gemini_3_thinking,academic,009,dim10,LIX readability,48.444399,43.534004,4.910395,1.445323,3.397437,89.863854
gemini_3_thinking,academic,009,dim11,Lexical diversity (MTLD),215.621657,204.252059,11.369598,10.482520,1.084625,94.727061
gemini_3_thinking,academic,010,dim1,Subject drop,0.066667,0.076923,-0.010256,0.012185,-0.841743,84.615385
gemini_3_thinking,academic,010,dim2,Subordination,0.398601,0.597938,-0.199337,0.020988,-9.497456,49.990957
gemini_3_thinking,academic,010,dim3,NP length,3.726027,3.459770,0.266257,0.156208,1.704504,92.854124
gemini_3_thinking,academic,010,dim4,Past tense,0.690265,0.408000,0.282265,0.044566,6.333711,59.107692
gemini_3_thinking,academic,010,dim5,3rd person,17.670683,25.854879,-8.184196,1.478331,-5.536106,53.684889
gemini_3_thinking,academic,010,dim6,Word length,5.703140,5.465453,0.237687,0.070790,3.357654,95.832348
gemini_3_thinking,academic,010,dim7,Complementizers,0.678571,0.614679,0.063893,0.030356,2.104777,90.584259
gemini_3_thinking,academic,010,dim9,Tree depth,7.885246,8.049587,-0.164341,0.213457,-0.769902,97.915843
gemini_3_thinking,academic,010,dim10,LIX readability,48.461798,46.779329,1.682469,1.445323,1.164078,96.528258
gemini_3_thinking,academic,010,dim11,Lexical diversity (MTLD),125.090323,195.720787,-70.630464,10.482520,-6.737928,43.536428
gemini_3_thinking,academic,011,dim1,Subject drop,0.020000,0.081967,-0.061967,0.012185,-5.085647,0.000000
gemini_3_thinking,academic,011,dim2,Subordination,0.419580,0.607143,-0.187562,0.020988,-8.936465,55.297619
gemini_3_thinking,academic,011,dim3,NP length,3.201717,3.913978,-0.712262,0.156208,-4.559698,77.753755
gemini_3_thinking,academic,011,dim4,Past tense,0.410256,0.337209,0.073047,0.044566,1.639093,82.194767
gemini_3_thinking,academic,011,dim5,3rd person,17.647059,24.778761,-7.131702,1.478331,-4.824159,59.587021
gemini_3_thinking,academic,011,dim6,Word length,5.707648,5.777411,-0.069763,0.070790,-0.985501,98.777724
gemini_3_thinking,academic,011,dim7,Complementizers,0.666667,0.526316,0.140351,0.030356,4.623502,78.947368
gemini_3_thinking,academic,011,dim9,Tree depth,8.380000,10.080645,-1.700645,0.213457,-7.967156,79.705905
gemini_3_thinking,academic,011,dim10,LIX readability,52.404409,54.306626,-1.902217,1.445323,-1.316119,96.370121
gemini_3_thinking,academic,011,dim11,Lexical diversity (MTLD),132.919528,220.409148,-87.489621,10.482520,-8.346240,34.178505
gemini_3_thinking,academic,012,dim1,Subject drop,0.097561,0.052632,0.044929,0.012185,3.687354,53.947368
gemini_3_thinking,academic,012,dim2,Subordination,0.500000,0.591078,-0.091078,0.020988,-4.339440,81.784387
gemini_3_thinking,academic,012,dim3,NP length,4.484211,4.126728,0.357482,0.156208,2.288501,92.027974
gemini_3_thinking,academic,012,dim4,Past tense,0.468085,0.525210,-0.057125,0.044566,-1.281818,87.796028
gemini_3_thinking,academic,012,dim5,3rd person,7.930214,17.209813,-9.279599,1.478331,-6.277079,0.000000
gemini_3_thinking,academic,012,dim6,Word length,5.727885,5.854907,-0.127022,0.070790,-1.794364,97.782387
gemini_3_thinking,academic,012,dim7,Complementizers,0.761905,0.606383,0.155522,0.030356,5.123269,79.587766
gemini_3_thinking,academic,012,dim9,Tree depth,7.576271,9.372549,-1.796278,0.213457,-8.415175,76.290740
gemini_3_thinking,academic,012,dim10,LIX readability,50.673077,49.938919,0.734157,1.445323,0.507954,98.551188
gemini_3_thinking,academic,012,dim11,Lexical diversity (MTLD),165.656924,221.665286,-56.008363,10.482520,-5.343025,66.190147
gemini_3_thinking,academic,013,dim1,Subject drop,0.042553,0.057471,-0.014918,0.012185,-1.224326,64.942529
gemini_3_thinking,academic,013,dim2,Subordination,0.319018,0.454545,-0.135527,0.020988,-6.457225,57.517483
gemini_3_thinking,academic,013,dim3,NP length,2.988327,4.555056,-1.566729,0.156208,-10.029757,47.571688
gemini_3_thinking,academic,013,dim4,Past tense,0.537736,0.439153,0.098582,0.044566,2.212075,81.667131
gemini_3_thinking,academic,013,dim5,3rd person,10.172144,7.327285,2.844859,1.478331,1.924372,72.032852
gemini_3_thinking,academic,013,dim6,Word length,5.750000,5.718750,0.031250,0.070790,0.441449,99.456522
gemini_3_thinking,academic,013,dim7,Complementizers,0.666667,0.681159,-0.014493,0.030356,-0.477427,97.826087
gemini_3_thinking,academic,013,dim9,Tree depth,8.000000,7.827273,0.172727,0.213457,0.809190,97.840909
gemini_3_thinking,academic,013,dim10,LIX readability,51.781172,48.167309,3.613864,1.445323,2.500385,93.020892
gemini_3_thinking,academic,013,dim11,Lexical diversity (MTLD),190.780671,220.843551,-30.062880,10.482520,-2.867906,84.242177
gemini_3_thinking,academic,014,dim1,Subject drop,0.042857,0.074627,-0.031770,0.012185,-2.607340,25.870647
gemini_3_thinking,academic,014,dim2,Subordination,0.205674,0.396040,-0.190366,0.020988,-9.070035,7.442813
gemini_3_thinking,academic,014,dim3,NP length,3.174274,3.352941,-0.178667,0.156208,-1.143778,94.371396
gemini_3_thinking,academic,014,dim4,Past tense,0.500000,0.505882,-0.005882,0.044566,-0.131993,98.823529
gemini_3_thinking,academic,014,dim5,3rd person,11.456628,13.289037,-1.832408,1.478331,-1.239512,84.005695
gemini_3_thinking,academic,014,dim6,Word length,6.156190,5.767685,0.388506,0.070790,5.488176,93.689183
gemini_3_thinking,academic,014,dim7,Complementizers,0.850000,0.692308,0.157692,0.030356,5.194771,81.447964
gemini_3_thinking,academic,014,dim9,Tree depth,6.269663,7.293413,-1.023750,0.213457,-4.796049,83.671367
gemini_3_thinking,academic,014,dim10,LIX readability,52.363095,52.035783,0.327312,1.445323,0.226463,99.374918
gemini_3_thinking,academic,014,dim11,Lexical diversity (MTLD),278.760408,241.293612,37.466797,10.482520,3.574217,86.559499
gemini_3_thinking,academic,015,dim1,Subject drop,0.057692,0.068182,-0.010490,0.012185,-0.860874,81.818182
gemini_3_thinking,academic,015,dim2,Subordination,0.449664,0.615658,-0.165994,0.020988,-7.908828,63.084931
