model,register,number,dim_id,dim_label,v_human,v_model,delta_v,se,b_d,score
claude_sonnet46,academic,001,dim1,Subject drop,0.069767,0.036364,0.033404,0.012185,2.741449,52.121212
claude_sonnet46,academic,001,dim2,Subordination,0.535211,0.569378,-0.034167,0.020988,-1.627883,93.616218
claude_sonnet46,academic,001,dim3,NP length,2.861472,4.088000,-1.226528,0.156208,-7.851886,57.136460
claude_sonnet46,academic,001,dim4,Past tense,0.316239,0.447674,-0.131435,0.044566,-2.949252,58.438089
claude_sonnet46,academic,001,dim5,3rd person,28.938907,42.511445,-13.572539,1.478331,-9.180989,53.099339
claude_sonnet46,academic,001,dim6,Word length,4.818966,5.121495,-0.302530,0.070790,-4.273647,93.722101
claude_sonnet46,academic,001,dim7,Complementizers,0.588235,0.782609,-0.194373,0.030356,-6.403137,66.956522
claude_sonnet46,academic,001,dim8,BÍN coverage,0.897510,0.987779,-0.090269,0.010664,-8.464691,89.942285
claude_sonnet46,academic,001,dim9,Tree depth,8.340426,9.927273,-1.586847,0.213457,-7.434037,80.974026
claude_sonnet46,academic,001,dim10,LIX readability,41.341291,51.459133,-10.117842,1.445323,-7.000401,75.526061
claude_sonnet46,academic,001,dim11,Lexical diversity (MTLD),175.330276,159.374140,15.956136,10.482520,1.522166,90.899384
claude_sonnet46,academic,002,dim1,Subject drop,0.027027,0.028986,-0.001958,0.012185,-0.160732,92.753623
claude_sonnet46,academic,002,dim2,Subordination,0.594286,0.520635,0.073651,0.020988,3.509113,87.606838
claude_sonnet46,academic,002,dim3,NP length,3.610837,3.309002,0.301835,0.156208,1.932262,91.640859
claude_sonnet46,academic,002,dim4,Past tense,0.071429,0.097561,-0.026132,0.044566,-0.586381,63.414634
claude_sonnet46,academic,002,dim5,3rd person,40.065413,24.841915,15.223498,1.478331,10.297761,62.003392
claude_sonnet46,academic,002,dim6,Word length,4.661001,5.110565,-0.449564,0.070790,-6.350708,90.354772
claude_sonnet46,academic,002,dim7,Complementizers,0.375000,0.636364,-0.261364,0.030356,-8.609959,30.303030
claude_sonnet46,academic,002,dim8,BÍN coverage,0.955619,0.921376,0.034243,0.010664,3.211029,96.416668
claude_sonnet46,academic,002,dim9,Tree depth,10.315789,10.535211,-0.219422,0.213457,-1.027944,97.872952
claude_sonnet46,academic,002,dim10,LIX readability,47.267161,56.072059,-8.804899,1.445323,-6.091993,81.372059
claude_sonnet46,academic,002,dim11,Lexical diversity (MTLD),106.179338,77.480657,28.698681,10.482520,2.737766,72.971502
claude_sonnet46,academic,003,dim1,Subject drop,0.016949,0.000000,0.016949,0.012185,1.391016,0.000000
claude_sonnet46,academic,003,dim2,Subordination,0.277108,0.433735,-0.156627,0.020988,-7.462514,43.478261
