source_file,prompt_file,reference_file,total_words,prompt_words,reference_words,has_skrif,skrif_split_widened,status
EVA_For_LLM_test.txt,unseen_prompt_001.txt,unseen_ref_001.txt,9394,4690,4704,False,False,OK
FERDASAGA2_For_LLM_test.txt.rtf,unseen_prompt_002.txt,unseen_ref_002.txt,10730,5351,5379,False,False,OK
FOSTUDAGUR_For_LLM_test.txt,unseen_prompt_003.txt,unseen_ref_003.txt,4980,2440,2540,False,False,OK
HEIMSREISUSAGAN_2_For_LLM_test.txt.rtf,unseen_prompt_004.txt,unseen_ref_004.txt,12516,6232,6284,False,False,OK
HUSVORDURINN_For_LLM_test.txt,unseen_prompt_005.txt,unseen_ref_005.txt,7083,3505,3578,True,False,OK
Heimsreisusagan_For_LLM_test.txt,unseen_prompt_006.txt,unseen_ref_006.txt,8845,4395,4450,False,False,OK
ROMANS_For_LLM_test.txt,unseen_prompt_007.txt,unseen_ref_007.txt,1568,780,788,False,False,OK
SANKTI2_For_LLM_test.txt.rtf,unseen_prompt_008.txt,unseen_ref_008.txt,17708,8763,8945,False,False,OK
SANKTI_VALENTINO_For_LLM_test.txt,unseen_prompt_009.txt,unseen_ref_009.txt,25819,12770,13049,False,False,OK
SKOLABILL_2_For_LLM_test.rtf,unseen_prompt_010.txt,unseen_ref_010.txt,2149,1076,1073,False,False,OK
SOLRIKUR_2_For_LLM_test.txt,unseen_prompt_011.txt,unseen_ref_011.txt,8187,4080,4107,False,False,OK
SOLRIKUR_3_For_LLM_test.txt.rtf,unseen_prompt_012.txt,unseen_ref_012.txt,9356,4655,4701,False,False,OK
SOLRIKUR_For_LLM_test.txt,unseen_prompt_013.txt,unseen_ref_013.txt,7586,3792,3794,False,False,OK
SOLRIKUR_ONNUR_BOK_For_LLM_test.txt.rtf,unseen_prompt_014.txt,unseen_ref_014.txt,3586,1798,1788,False,False,OK
TYNDIR_SKOR_OG_TAFYLA_For_LLM_test.txt,unseen_prompt_015.txt,unseen_ref_015.txt,15699,7693,8006,False,False,OK
